state,undisbursed_amount_above_0,total_loans
IL,1713,11080
GA,1217,8865
CA,1200,8837
TX,1022,7479
FL,745,6522
NY,594,3854
OH,456,3363
LA,454,2862
MI,429,2870
TN,385,2448
